strategy,mean_cost_cny,p50_cost_cny,p90_cost_cny,mean_avg_material_shortage_rate,any_material_shortage_probability,p90_max_material_shortage_rate,mean_cost_weighted_risk
Balanced,170462250.00065535,171109794.81462866,194134351.48848507,0.022207182309745666,0.5183333333333333,0.433277815709879,35.16055717551175
Lowest Cost,168621405.267616,169302099.27349657,192548276.81816494,0.025355186244643235,0.49166666666666664,0.5314252715820077,38.54159604654156
Resilience,175404914.52181703,176208191.8377857,199413080.14512908,0.02090004091334995,0.5,0.3446831137556994,30.600473087149215
